point,landowner,finca_number,finca_ID,lat.true,long.true,land_use,output,slope,aspect,elevation,moisture,avg.temp,cam.deployment,bird.count1,bird.count2,bird.audio,bat.audio,sound.audio,gentry.transect,soil sample
AZ041,Panamaes,,,7.44692,-80.08065,nat_regen,tourism,0,200,7.6,0.962,,AZCAM41 - 20240321,AZBRD041 - 20240307,AZBRD041 - 20240308,AZAUD14 - 20240307,,AZAUD54 - 20240321,AZGEN041,AZSOIL041
AZ042,Panamaes,,,7.44692,-80.07818,reforestation,tourism,2,327,17.2,0.9474,,AZCAM42 - 20240319,AZBRD042 - 20240307,AZBRD042 - 20240308,AZAUD26 - 20240307,,AZAUD26 - 20240319,AZGEN042,AZSOIL042
AZ043,Panamaes,,,7.44729,-80.0715,pasture,tourism,0,200,24.4,0.878,,AZCAM43 - 20240319,AZBRD043 - 20240313,AZBRD043 - 20240314,AZAUD16 - 20240313,,AZAUD41 - 20240319,AZGEN043,AZSOIL043
AZ044,Panamaes,,,7.44944,-80.08793,mature,tourism,2,224,22.9,0.8978,,AZCAM44 - 20240321,AZBRD044 - 20240307,AZBRD044 - 20240308,AZAUD12 - 20240307,,AZAUD04 - 20240321,AZGEN044,AZSOIL044
AZ045,Panamaes,,,7.44939,-80.08559,nat_regen,tourism,10,239,21.6,0.9096,,AZCAM45 - 20240321,AZBRD045 - 20240307,AZBRD045 - 20240308,AZAUD32 - 20240307,,AZAUD19 - 20240321,AZGEN045,AZSOIL045
AZ046,Panamaes,,,7.45,-80.08287,reforestation,tourism,10,204,38.3,0.8123,,AZCAM46 - 20240318,AZBRD046 - 20240311,AZBRD046 - 20240312,AZAUD24 - 20240311,,AZAUD20 - 20240318,AZGEN046,AZSOIL046
AZ047,Panamaes,,,7.44939,-80.08065,reforestation,tourism,10,202,35.9,0.8223,,AZCAM47 - 20240318,AZBRD047 - 20240313,AZBRD047 - 20240314,AZAUD36 - 20240313,,AZAUD46 - 20240318,AZGEN047,AZSOIL047
AZ048,Panamaes,,,7.44939,-80.07818,reforestation,tourism,10,110,34.4,0.6873,,AZCAM48 - 20240319,AZBRD048 - 20240313,AZBRD048 - 20240314,AZAUD34 - 20240313,,AZAUD11 - 20240319,AZGEN048,AZSOIL048
AZ049,Panamaes,,,7.45186,-80.08559,reforestation,tourism,17,212,67.8,0.6802,,AZCAM49 - 20240318,AZBRD049 - 20240311,AZBRD049 - 20240312,AZAUD28 - 20240311,,AZAUD42 - 20240318,AZGEN049,AZSOIL049
AZ050,Panamaes,,,7.45214,-80.08309,reforestation,tourism,14,170,61.1,0.6406,,AZCAM50 - 20240318,AZBRD050  - 20240311,AZBRD050  - 20240312,AZAUD10 - 20240311,,AZAUD22 - 20240318,AZGEN050,AZSOIL050
AZ051,Panamaes,,,7.45195,-80.08086,reforestation,tourism,2,78,56.1,0.2808,,AZCAM51 - 20240318,AZBRD051 - 20240311,AZBRD051 - 20240312,AZAUD20 - 20240311,,AZAUD24 - 20240318,AZGEN051,AZSOIL051
AZ052,Panamaes,,,7.45433,-80.08065,nat_regen,tourism,20,200,80.1,0.5995,,AZCAM52 - 20240318,AZBRD052 - 20240311,AZBRD052 - 20240312,AZAUD22 - 20240311,,AZAUD28 - 20240318,AZGEN052,AZSOIL052
AZ053,Panamaes,,,7.45123,-80.08768,mature,tourism,45,356,32.8,0.9079,,AZCAM53 - 20240321,AZBRD053 - 20240311,AZBRD053 - 20240312,AZAUD42 - 20240311,,AZAUD10 - 20240321,AZGEN053,AZSOIL053
